date;time;latitude;longitude
14-03-2018;17:29;50.9195383;5.8921561
14-03-2018;17:35;50.9442112;5.8391526
14-03-2018;17:40;50.9694311;5.8442283
14-03-2018;17:42;5.0971129;5.8411367
14-03-2018;17:47;50.9719855;0.5841445
14-03-2018;17:49;50.9754113;5.8444014
14-03-2018;17:49;50.9763959;5.8454159
14-03-2018;17:52;50.9751159;5.8437678
14-03-2018;17:54;50.9764626;5.8463705
14-03-2018;17:56;50.9777147;5.8456176
14-03-2018;17:57;50.9763959;5.8454159
14-03-2018;17:58;50.9783654;5.8445657
14-03-2018;18:03;50.9782002;0.5844925
15-03-2018;09:46;50.9788148;5.8442521
15-03-2018;09:47;50.9796119;5.8427749
15-03-2018;09:49;50.9796879;5.8430907
15-03-2018;09:52;50.9796636;5.8427666
15-03-2018;09:54;50.9865625;5.8495108
15-03-2018;09:57;50.9970849;5.8611165
15-03-2018;09:58;51.0009964;5.8589994
15-03-2018;09:59;51.0011025;5.8589785
15-03-2018;10:03;51.0010439;5.8588765
15-03-2018;10:08;51.0026468;5.8597794
15-03-2018;10:08;51.0012115;5.8590464
15-03-2018;10:10;51.0058906;5.8528306
15-03-2018;10:13;51.0114296;0.7
15-03-2018;10:15;51.0200378;5.8287664
15-03-2018;10:18;51.0312649;5.8130859
15-03-2018;10:20;51.0311087;5.8063657
15-03-2018;10:23;51.0409185;5.7867544
15-03-2018;10:26;51.0429804;5.7768249
15-03-2018;10:28;51.0432112;5.7767611
15-03-2018;10:46;51.0431822;5.7767277
15-03-2018;16:02;51.0426734;5.7769967
15-03-2018;16:02;51.0431501;5.7767228
15-03-2018;16:05;51.0414184;5.7791194
15-03-2018;16:08;51.0413548;5.7837927
15-03-2018;16:10;51.0348574;5.8041913
15-03-2018;16:13;0.5103216;5.8092745
15-03-2018;16:18;51.0128154;5.8365616
15-03-2018;16:21;51.0062565;5.8536486
15-03-2018;16:23;51.0012298;5.8591663
15-03-2018;16:23;51.0008407;5.8590728
15-03-2018;16:29;51.0007529;5.8590797
15-03-2018;16:38;50.9999378;5.8598549
15-03-2018;16:38;51.0008407;5.8590728
15-03-2018;16:41;50.9978439;5.8619511
15-03-2018;16:43;50.9912698;5.8546667
15-03-2018;16:47;50.9811327;5.8433233
15-03-2018;16:49;50.9790344;5.8437727
15-03-2018;16:50;50.9793144;5.8434403
15-03-2018;16:54;50.9783337;5.8445105
15-03-2018;19:56;50.9783617;5.8445555
15-03-2018;20:56;50.9783403;5.8447029
16-03-2018;16:05;50.9783199;5.8446186
16-03-2018;16:05;50.9779529;5.8456634
16-03-2018;16:09;50.9617695;5.8374398
16-03-2018;16:11;50.9584368;5.8180625
16-03-2018;16:15;50.9526226;5.7880564
16-03-2018;16:22;50.8731664;5.7182149
16-03-2018;16:26;50.8590415;5.7133791
16-03-2018;16:28;50.8514264;5.7061321
16-03-2018;16:28;50.8507161;0.5706442
16-03-2018;16:33;50.8500828;5.7067433
16-03-2018;16:51;50.8506484;5.7065164
16-03-2018;17:13;50.8507161;0.5706442
16-03-2018;17:13;50.8526319;5.7055129
16-03-2018;17:15;50.8583081;5.7143117
16-03-2018;17:17;5.0888242;5.7404258
16-03-2018;17:19;50.9084794;0.5764643
16-03-2018;17:27;50.9541305;5.7447339
16-03-2018;17:36;50.9859468;5.5219832
16-03-2018;17:39;51.0054089;5.4448826
16-03-2018;17:43;51.0125411;5.3522822
16-03-2018;18:01;50.9580666;4.9643582
16-03-2018;18:17;50.8743003;4.6537361
16-03-2018;18:24;50.8680882;0.4495958
16-03-2018;18:27;50.8859636;4.4597147
16-03-2018;18:31;50.8980679;4.4806656
16-03-2018;18:39;50.8982178;4.4816886
16-03-2018;18:43;50.8981315;0.4482703
16-03-2018;18:52;50.8980468;4.4828966
16-03-2018;19:09;50.9005404;4.4823345
16-03-2018;19:16;50.8981312;4.4815488
16-03-2018;19:16;50.9004829;4.4823581
16-03-2018;19:21;50.9005323;4.4823345
16-03-2018;19:24;50.8999918;4.4830982
16-03-2018;19:32;50.8991025;4.4836076
16-03-2018;19:41;50.8996221;4.4859195
16-03-2018;19:43;50.8996621;4.4834743
16-03-2018;19:44;50.9001056;0.4487658
16-03-2018;19:46;50.9000013;4.4873323
16-03-2018;19:49;50.9002699;4.4882211
16-03-2018;20:03;50.9000264;4.4873953
16-03-2018;20:14;50.9003374;0.4488423
16-03-2018;20:58;50.9002791;0.4488192
16-03-2018;21:03;50.9033162;4.4890288
17-03-2018;03:58;25.2392737;55.3787656
17-03-2018;04:02;25.2433093;5.5366668
17-03-2018;04:05;25.2478726;55.3614063
17-03-2018;04:25;25.2478951;55.3613556
17-03-2018;04:31;25.2479502;55.3613841
17-03-2018;04:36;25.2497547;55.3592537
17-03-2018;05:00;25.2502069;55.3586698
17-03-2018;05:05;25.2593029;55.3393071
17-03-2018;05:11;25.2634764;55.3451093
17-03-2018;15:05;35.5473973;139.7684985
17-03-2018;15:06;35.5484107;139.7682501
17-03-2018;15:08;35.5470011;139.7686455
17-03-2018;15:11;35.5469508;139.7686494
17-03-2018;15:14;35.5472984;139.7685378
17-03-2018;15:20;35.5451604;139.7691224
17-03-2018;15:32;35.5454357;139.7697818
17-03-2018;15:40;35.5447174;139.7681283
17-03-2018;15:45;35.5448481;139.7684358
17-03-2018;16:32;35.5442374;139.7678804
17-03-2018;16:34;35.5447269;139.7681891
17-03-2018;16:39;3.5553078;139.7401136
17-03-2018;16:43;3.5567459;139.7360063
17-03-2018;16:46;3.5580451;139.7359684
17-03-2018;16:51;35.6117333;139.7417871
17-03-2018;16:53;35.6282652;139.7375138
17-03-2018;16:55;35.6363337;13.9738897
17-03-2018;16:58;35.6468698;139.7472138
17-03-2018;17:00;35.6487815;139.7525359
17-03-2018;17:03;35.6599594;139.7551566
17-03-2018;17:05;35.6646763;139.7603527
17-03-2018;17:08;35.6747046;139.7738401
17-03-2018;17:11;3.5679858;139.7800057
17-03-2018;17:13;35.6844805;139.7839035
17-03-2018;17:15;35.6910215;139.7806063
17-03-2018;17:15;35.6903375;139.7798322
17-03-2018;17:29;35.6910995;139.7806877
17-03-2018;18:47;35.6911263;139.7807003
18-03-2018;00:49;35.6914777;139.7809485
18-03-2018;01:15;35.6910048;139.7807548
18-03-2018;01:19;35.6911203;139.7808957
18-03-2018;01:42;35.6911862;139.7805847
18-03-2018;02:12;35.6912265;139.7796901
18-03-2018;02:14;3.5691165;139.7806246
18-03-2018;02:19;35.6908022;139.7784909
18-03-2018;02:23;35.6977323;139.7751599
18-03-2018;02:28;35.6977792;139.7741921
18-03-2018;02:31;35.6991196;1.3977122
18-03-2018;02:35;35.6988193;139.7710984
18-03-2018;02:38;35.7006359;139.7715465
18-03-2018;02:43;35.7014723;139.7708663
18-03-2018;02:46;35.7000319;13.9770434
18-03-2018;02:50;35.6982502;139.7704612
18-03-2018;02:54;35.6985661;13.9769197
18-03-2018;02:57;35.6990278;139.7708837
18-03-2018;02:59;35.6985337;139.7675008
18-03-2018;03:02;35.6993438;139.7656573
18-03-2018;03:10;35.6996182;139.7642389
18-03-2018;03:14;3.5700309;139.7622092
18-03-2018;03:17;3.5700855;139.7603225
18-03-2018;03:19;35.7010738;139.7583576
18-03-2018;03:23;35.7012745;139.7577454
18-03-2018;03:26;35.7017694;1.3975491
18-03-2018;03:29;35.7022559;139.7561661
18-03-2018;03:32;35.7020023;139.7578998
18-03-2018;03:35;35.7020348;139.7608685
18-03-2018;03:38;35.7009196;139.7633148
18-03-2018;03:45;35.7008243;139.7635083
18-03-2018;03:53;35.7003487;139.7642761
18-03-2018;03:56;35.7066954;139.7599563
18-03-2018;03:58;35.7074598;139.7601784
18-03-2018;04:09;35.7036202;139.7681171
18-03-2018;04:14;35.7104706;139.7736269
18-03-2018;04:17;35.7115479;139.7733738
18-03-2018;04:20;0.3571231;139.7721938
18-03-2018;04:21;35.7125022;139.7730562
18-03-2018;04:32;3.5712266;139.7714766
18-03-2018;04:39;35.7123209;139.7706613
18-03-2018;04:42;35.7125817;139.7704597
18-03-2018;04:48;35.7122933;139.7721553
18-03-2018;05:18;35.7123732;13.9772534
18-03-2018;05:25;35.7120843;139.7713324
18-03-2018;05:28;35.7121392;139.7704657
18-03-2018;05:35;35.7122953;139.7719825
18-03-2018;05:38;35.7123847;13.9769509
18-03-2018;05:40;35.7121941;139.7694753
18-03-2018;05:43;35.7127254;139.7696095
18-03-2018;06:01;35.7122493;139.7707652
18-03-2018;06:06;3.5712469;139.7699473
18-03-2018;06:09;3.5712498;139.7726821
18-03-2018;06:12;35.7125639;139.7728945
18-03-2018;06:21;35.7125817;139.7729728
