Time,Latitude,Longitude
22/03/2018 04:08,357013503,1397719847
22/03/2018 03:52,357011392,139771687
22/03/2018 03:50,3569839,139772356
22/03/2018 03:42,356983697,1397723338
22/03/2018 03:39,357003619,1397713975
22/03/2018 03:32,35698366,1397723483
22/03/2018 03:15,356990514,1397714955
22/03/2018 03:13,356993675,1397716998
22/03/2018 03:07,356984075,1397718936
22/03/2018 03:04,35698576,1397714343
22/03/2018 03:01,356986445,1397715907
22/03/2018 02:58,356981585,1397714838
22/03/2018 02:57,356982711,139774417
22/03/2018 02:55,356976897,1397739045
22/03/2018 02:53,356984113,1397742287
22/03/2018 02:50,356994925,1397754373
22/03/2018 02:45,356984355,1397753576
22/03/2018 02:38,356911702,1397793447
21/03/2018 17:01,356910723,1397805296
21/03/2018 16:00,35691115,1397796721
21/03/2018 15:57,35691166,1397793867
21/03/2018 15:43,356980314,1397741173
21/03/2018 15:42,356973463,1397753084
21/03/2018 15:40,356987204,1397740043
21/03/2018 13:58,356980165,1397740879
21/03/2018 13:55,356986131,1397740434
21/03/2018 13:52,356981357,1397741296
21/03/2018 13:50,356914113,1397787954
21/03/2018 13:34,35690891,1397787088
21/03/2018 13:29,356913916,1397796437
21/03/2018 13:26,356910779,1397784387
21/03/2018 13:23,356920201,1397789596
21/03/2018 13:21,356927824,1397784906
21/03/2018 13:19,356952646,1397799454
21/03/2018 13:18,356943894,1397798774
21/03/2018 12:43,356954269,139780006
21/03/2018 11:30,356953851,1397800273
21/03/2018 11:13,356955209,1397798033
21/03/2018 11:10,356950424,1397799081
21/03/2018 11:08,356911075,139780595
21/03/2018 10:24,356911573,1397806291
21/03/2018 09:39,356911398,1397806696
21/03/2018 08:34,35691017,139780533
21/03/2018 08:11,356912084,1397804912
21/03/2018 08:08,35691439,1397797204
21/03/2018 08:05,35691238,1397796963
21/03/2018 07:54,356703557,1397613195
21/03/2018 07:35,356667434,1397307054
21/03/2018 07:32,356656158,1397299766
21/03/2018 07:04,356671943,1397306404
21/03/2018 06:57,356667087,1397300622
21/03/2018 06:39,356661791,1397306225
21/03/2018 06:31,356658181,1397303477
21/03/2018 06:17,356665316,1397311501
21/03/2018 06:10,356654358,1397297299
21/03/2018 05:29,356668717,1397312441
21/03/2018 05:26,356654589,1397297992
21/03/2018 05:23,356657772,1397304616
21/03/2018 05:21,356668615,139731292
21/03/2018 04:40,356672046,1397305886
21/03/2018 04:23,35667186,13973045
21/03/2018 04:20,356667016,1397300574
21/03/2018 04:18,356649411,1397263195
21/03/2018 03:45,356647752,1397264636
21/03/2018 03:38,35664788,1397264471
21/03/2018 03:15,356651517,1397257843
21/03/2018 03:05,356648862,139725994
21/03/2018 03:01,356647373,1397265875
21/03/2018 02:58,356647389,1397277072
21/03/2018 02:55,356649411,1397263195
